class, id, rating, comment
"neg","82164","1","Realmente ruim	Chato"
"neg","49372","1","Loris	Cara isso é uma merdaaa Jogo LIXOOOOO"
"neg","145298","1","Parou depois da atualização	Depois de instalar a atualização parou de funcionar no galaxy tab!!!"
"neg","190411","1","Esse app é o pior n baixe"
"neg","80054","1","Mt.ruim n baixem	As teclas sao muito pequenas ee foi muito lerdo no meu  optimus p350"
"neg","11871","1","uma PORCARIA....NAUM BAIXEM...so da erro	da erro no servidor e naum aparece mais nada de jogo....naum joguem dinheiro fora!"
"neg","161329","1","Ruim	Cara que jogo ruim nada ver com a versao de pc,grafico muito ruim"
"neg","51673","1","Que lixo de jogo nao instale '-'"
"neg","85069","1","Vao se fuder	Seus filho da puta caralho coloca porra de propagando dentro do jogo"
"neg","183889","1","Porra!	Tem que baixar Adoble Flash"
"neg","4589","1","Comprei a toa	É idêntico a versão free =/"
"neg","101376","1","Putz!	Adorei. Mas não funcionou mais com esta última atualização 1.0.3 no Xperia U."
"neg","120814","1","Elda	Aff jogo no do meu namorado mas ele nao roda no meu celular....q sacooo"
"neg","16308","1","Perdi dinheiro!	Demorou mais de 15 min pra instalar, e depois não roda. PERDI MEU DINHEIRO (GALAXY SII)"
"neg","129007","1","BostA	NAO ATUALIZA NOVA VERSAO!!!"
"neg","169961","1","Galaxy 551	Nao abre no meu galaxy desde ontem, depois da atualizaçao. Alguem sabe oq aconteceu????"
"neg","87159","1","Ruim	Nao baxa que ruim"
"neg","102377","1","NÃO RODA	So fica verificando atualizações e no final diz que não tem rede."
"neg","123583","1","Motorola defy	Nao estou conseguindo instalar no motorola defy, ele ate baixa, mas na gora de instalar nao da certo"
"neg","136398","1","E um jogo bacana mas no Xperia x8 demorou mais ou menos umas 10:00 horas para baixar no meu celular"
"neg","51660","1","Ruim	Pessimo nao baixem!!!!"
"neg","168566","1","Já foi melhor	Piorou depois que a zynga assumiu, tem muita propaganda e pop-ups está péssimo."
"neg","80951","1","Não dá no Xperia ray..."
"neg","21298","1","Merda ta com defeito nao presta	Bosta nao presta esse jogo"
"neg","6881","1","Vergonha!!	Desenvolvedor não respeita os clientes que pagam pelos apps, já é o terceiro jogo dele sem suporte ao ICS, além de Bejewled 2 e Plants vs Zombies... Deveria ser denunciado!!!"
"neg","133662","1","Nao baixa	Porque ele nao baixa no tabet android aoc"
"neg","109963","1","victor	muito ruim affs vei nunca vi um jogo tao ruim   tive ate q desinstalar sinstalar"
"neg","188325","1","Xperia play	Nao roda 100%, e o sistema de compra e' muito pior q o dead trigger, querem q passe o dia jogando e ainda tem bugs. Vergonhoso, agora nao abre o jogo, quando abre trava o celular. Ridiculo."
"neg","45593","1","99% >> falha no download. Tomanuc#!!!"
"neg","13805","1","Não pega.	Gastei dinheiro atoa neste aplicativo, ele trata e o touch não funciona."
"neg","13193","1","não instala	Paguei e não levei, recebo constantemente a mensagem de erro na rede, sendo que além de não haver erro em minha conexão, meu aparelho é perfeitamente compatível."
"neg","129958","1","Fotball	Uma merda esse jogo"
"neg","120057","1","Kelson	No meu tab ele fica indo pra direita e se estrompa nas cercas! Não vale!"
"neg","173778","1","João	Tou baixando vamos cer se é bom"
"neg","60466","1","Muito xato	Igual ao  reporter vesgo do panico ma band"
"neg","852","1","Não funfou	Comprei mas nao rodou no meu Tablet S da Sony nem no meu Xperia S  Nem abriu alguem sabe pq?"
"neg","8210","1","Atualização piorou o desempenho	Atualização do aplicativo deixou o jogo travado."
"neg","4909","1","EDUARDO	ESSE GAME NAO FUNCIONOL NO MEU SAMSUNGY GT-15510T EU QUERO SABER O POR QUE!!!"
"neg","172795","1","Jogo	Esse jogo eh o jogo mais chato do mundo jesus amado."
"neg","92999","1","Caio	O dawlold parou 2 veses no 67% e 57%"
"neg","137890","1","RESPOSTA: Tenta me auxiliar na compra do jogo.Por favor.	Vc so vai conseguir comprar se o seu cartao de credito for internacional."
"neg","73400","1","Izabel	Tenho um galaxy ace e ja instalei varias vezes mas qdo entro no jogo para iniciar ele se fecha sozinho e n consigo jogar."
"neg","75649","1","Uma hora vc enjoa de ficar teclando os sons nao sao de um piano de verdade mas ce vc fas aulas instala e fodace"
"neg","96790","1","Breno	Que jogo orrivel"
"neg","119028","1","Parem!	Galera parem de baixar o mine estao dando um truque na gente o mine de comprar tem ja crafiting!"
"neg","108110","1","Anônima	Odiei esse jogo é uma droga não presta pra nada!!!"
"neg","117104","1","Pessimo	n roda no Galaxy 5, uma pena pois eh um bom jogo."
"neg","34027","1","Samsung Galaxy Ace	Esse jogo n tem nda de legal, isso é mt chato. Vlw"
"neg","122835","1","Mau	Pessoal isto não abre no meu keleper2 É uma porcaria"
"neg","34778","1","Incompativel com o L3	Incompativel com o Lg Optimus L3 por favor arrumem isso"
"neg","156396","1","mateus	esse jogo é uma porcaria"
