class, id, rating, comment
"neg","73527","1","Não entra normal Nao entra normal! Tenhon sempre q entrar pela play store e isso è chato. Fixem esse bug por favor! Aí darei 5 estrelas. Obrigada"
"neg","62633","1","Zuado Por k pega fogo na tela zuo meu celular"
"neg","107896","1","Lg optimus Orrivel , uma merda nem perca tempo"
"neg","11965","1","Paguei e não usei !!!! Não sei o porque, mas o na hora de comprar o aplicativo tive a informação que emu aparelho seria compatível com o app e quando tento usa-lo ganho na tela a seguinte mensagem:  Esta aplicação não está autorizada para utilização no seu dispositivo Android.   Sera o que aconteceu????  Meu aparelho é o X10a android 2.3"
"neg","40932","1","Merda!! O jogo nao funciona e nao vale a pena gastar o seu tempo baixando!!"
"neu","88726","1","No comeco funcionou bem mas depois ficou mto lento...."
"neg","58006","1","Essa merda nao grava o jgo de onde agente para perdi 5horas de jogo no chrono trigger essa merda de emulador nao adianta nada se nao grava jogo so porque é gratuito tenque melhorar e fazer um que grave! !!!!! Essa merda nao serve para rpg nao grava o jogo só porque é gratuito tenque colocar a verçao completa gratis!!!!!!"
"neu","183855","1","Porra de flash"
"neg","185745","1","Nao Este jogo nao presta pk nao da para aceder fica ali rederecionando e nao faz mais nada!!!!!!!!  Horrivel"
"neg","10460","1","ERA OTIMO Depois da nova atualização, adicionaram novos temas. ÓTIMO. Porém estragaram a jogabilidade, está um LIXO. Não tem mais como jogar, é uma pena... NÃO BAIXEM !!!!!!!"
"neg","189623","1","N presta N gostei"
"neg","17225","1","Nunca gostei Péssimo jogo"
"neg","37487","1","Poxa ñ ta indo no meu carol"
"neg","127634","1","Ruim Mto feio recomendo a não baixarem"
"neg","174815","1","O mercado não funciona. Milestone com froyo"
"neg","33048","1","Isso eet uma droga ESSA PORRA EER RUIM A GENT VIRA PAR ESQUERDA VAI PAR DIREITA VIRA PAR DIREITA VAI PAR ESQUERDA VAIIIIII TOMA BANHO PERDI MEU TEMPO COM ESSA DESGRAÇA"
"neg","127840","1","Esse programa é uma bosta Isso é uma boosta"
"pos","117492","1","Dahora Porra é  FODA"
"neg","6965","1","Atualizacao de m... Rodava perfeito, agora as texturas estao totalmente baguncadas. Nao da pra ver nada alem doo video de abertura. The update dont works. Graphics and textures are confused. I cant play anymore"
"neg","11177","1","Horrível Horrível trava de mais no gs2"
"neg","100169","1","Galaxy y Essa merda so aparesce a foto do cavalo e depois fecha inesperadamente...afff vao tomar nu cu..atualizem esse porraaa"
"neg","122937","1","Mais um péssimo título da EA Downloads adicionais e limitação de apenas jogar online estragam o jogo"
"neg","174350","1","Uma merda!!! No meu xperia ñ faz login"
